Day 1,Depth Jumps,Side to Side Box Jumps,Weighted Explosions,Medicine Ball Approach,Zig Zags,Medicine Throws,Rim Jumps,Speed Rope,PWS
Day 2,Stretch and Recover,Core,Upper Series,,,,,,PWS
,,Series,,,,,,,
Day 3,Off Day Exercises Only,,,,,,,,PWS
Day 4,Explosion Squats,Explosion Calf Raises,Dead Lifts,Ham Curls,In Place Lunges,Hang Cleans,Knee,,PWS
,,,,,,,Drives,,
Day 5,Stretch and Recover,,,,,,,,PWS
Day 6,Stretch ,Core,Upper Series,,,,,,PWS
,and,Series,,,,,,,
,,,,,,,,,
,Recover,,,,,,,,
Day 7,Off Day Exercises Only,,,,,,,,PWS
Day 8,Sprints,Lunge,1 Leg Chair Rockets,Medicine Throws,Zig Zags,Rim Jumps,Weighted Explosions,Sprints,PWS
,,Jumps,,,,,,,
Day 9,Stretch and Recover,Core,Upper Series,,,,,,PWS
,,Series,,,,,,,
Day 10,Off Day Exercises Only,,,,,,,,PWS
Day 11,Explosion Squats,Hang Cleans,Ham Curls,Explosion Calf Raises,In Place Lunges,Dead Lifts,Knee,,PWS
,,,,,,,Drives,,
Day 12,Stretch and Recover,,,,,,,,PWS
Day 13,Stretch and Recover,Core,Upper Series,,,,,,PWS
,,Series,,,,,,,
Day 14,Off Day Exercises Only,,,,,,,,PWS
